Row ID,Year,Department Title,Payroll Department,Record Number,Job Class Title,Employment Type,Hourly or Event Rate,Projected Annual Salary,Q1 Payments,Q2 Payments,Q3 Payments,,,,,,
111391,2014,Water And Power (DWP),,1412316577,Commercial Service Representative,Full Time,,"$70,386.48 ","$16,129.89 ","$17,829.78 ","$17,678.24 ",,,,,,
31732,2013,Police (LAPD),4301,432728338,Police Officer I,Full Time,$25.12 ,"$52,450.56 ","$11,331.00 ","$13,859.93 ","$11,968.32 ",,,,,,
27697,2013,Police (LAPD),4301,97182506,Police Officer II,Full Time,$42.77 ,"$89,303.76 ","$20,036.32 ","$23,479.20 ","$21,153.60 ",,,,,,
14136,2013,Harbor (Port of LA),3201,950136941,Senior Security Officer,Full Time,$28.75 ,"$60,028.96 ","$15,793.88 ","$18,560.38 ","$16,471.18 ",,,,,,
91896,2014,Public Works - Sanitation,7024,3230003445,Senior Clerk Typist,Full Time,$30.92 ,"$64,553.13 ","$14,700.00 ","$17,313.10 ","$15,257.17 ",,,,,,
106560,2014,Water And Power (DWP),,681385707,Security Officer,Full Time,,"$65,959.92 ","$26,530.26 ","$32,978.41 ","$25,697.50 ",,,,,,
59695,2014,Airports (LAWA),0101,4237826094,Custodian - Airports,Full Time,$22.95 ,"$47,911.51 ","$13,493.87 ","$14,599.61 ","$12,619.57 ",,,,,,
53269,2013,Water And Power (DWP),,2451061060,Utility Executive Secretary,Full Time,,"$87,132.24 ","$23,355.34 ","$23,418.80 ","$20,090.40 ",,,,,,
71037,2014,Harbor (Port of LA),3201,3226778033,Gardener Caretaker,Full Time,$26.42 ,"$55,173.05 ","$12,701.88 ","$14,797.37 ","$12,683.46 ",,,,,,
22672,2013,Police (LAPD),4301,4072749680,Police Officer II,Full Time,$51.64 ,"$107,821.45 ","$23,997.87 ","$28,089.53 ","$26,816.01 ",,,,,,
69509,2014,General Services,3362,2496054482,Accounting Clerk II,Full Time,$32.65 ,"$68,169.55 ","$14,256.39 ","$16,754.69 ","$14,665.21 ",,,,,,
110008,2014,Water And Power (DWP),,50444709,Equipment Operator,Full Time,,"$86,652.00 ","$24,334.13 ","$22,514.78 ","$22,244.00 ",,,,,,
106631,2014,Water And Power (DWP),,618728656,Electrical Mechanic,Full Time,,"$99,514.08 ","$28,009.83 ","$28,964.94 ","$35,549.58 ",,,,,,
52209,2013,Water And Power (DWP),,1529089271,Security Officer,Full Time,,"$61,428.96 ","$21,704.18 ","$24,830.01 ","$23,627.52 ",,,,,,
55051,2013,Water And Power (DWP),,3333931108,Senior Clerk Typist,Full Time,,"$70,386.48 ","$18,491.66 ","$18,977.60 ","$16,230.80 ",,,,,,
100155,2014,Recreation And Parks,7903,4272994058,Locker Room Attendant,Part Time,$13.54 ,"$28,271.52 ",$0.00 ,$75.82 ,"$1,639.69 ",,,,,,
